dataset_role,event_id,bag,hypothesis,budget_k,production_first_invoked,oracle_v2_hard_feasible,oracle_v2_usable_feasible,failure_mechanism,lateral_factor_evaluations,pair_priority_evaluations,reconstruction_attempts,fully_reconstructed_candidate_count,constructed_unique_count,construction_guard_rejects,duplicate_constructed_paths,raw_harness_validator_executions,logical_exact_validator_calls,hard_valid_count,usable_valid_count,hard_recovered,usable_recovered,best_hard_side,best_hard_d_target,best_hard_d_mid,best_hard_entry_scale,best_hard_exit_scale,best_usable_path_digest,audit_harness_wall_runtime_s_shared_across_budgets
PILOT_SEEN_DEVELOPMENT_DATA,V2E01,rosbag2_2026_08_24-19_24_17,R1_FEASIBILITY_LEXICOGRAPHIC,8,True,True,True,NOT_IN_REMAINING_MISS_TABLE,1204,9623,8,8,4,0,4,8,4,4,4,True,True,RIGHT,-0.4706489967513876,-0.4706489967513876,0.51458109301505117,7.3975462023963852,e08dc6cd11cfc0b6,0.01211778300057631
PILOT_SEEN_DEVELOPMENT_DATA,V2E01,rosbag2_2026_08_24-19_24_17,R1_FEASIBILITY_LEXICOGRAPHIC,12,True,True,True,NOT_IN_REMAINING_MISS_TABLE,1204,9623,12,12,6,0,6,12,6,6,6,True,True,RIGHT,-0.4706489967513876,-0.4706489967513876,0.51458109301505117,7.3975462023963852,e08dc6cd11cfc0b6,0.01211778300057631
PILOT_SEEN_DEVELOPMENT_DATA,V2E01,rosbag2_2026_08_24-19_24_17,R1_FEASIBILITY_LEXICOGRAPHIC,16,True,True,True,NOT_IN_REMAINING_MISS_TABLE,1204,9623,16,16,8,0,8,16,8,8,8,True,True,RIGHT,-0.4706489967513876,-0.4706489967513876,0.51458109301505117,7.3975462023963852,e08dc6cd11cfc0b6,0.01211778300057631
PILOT_SEEN_DEVELOPMENT_DATA,V2E01,rosbag2_2026_08_24-19_24_17,R1_FEASIBILITY_LEXICOGRAPHIC,24,True,True,True,NOT_IN_REMAINING_MISS_TABLE,1204,9623,24,24,12,0,12,24,12,12,12,True,True,RIGHT,-0.4706489967513876,-0.4706489967513876,0.51458109301505117,7.3975462023963852,e08dc6cd11cfc0b6,0.01211778300057631
PILOT_SEEN_DEVELOPMENT_DATA,V2E01,rosbag2_2026_08_24-19_24_17,R2_BALANCED_PHYSICS_SCORE,8,True,True,True,NOT_IN_REMAINING_MISS_TABLE,1204,9623,8,8,4,0,4,8,4,4,4,True,True,RIGHT,-0.4706489967513876,-0.4706489967513876,0.51458109301505117,7.3975462023963852,e08dc6cd11cfc0b6,0.01393514999654144
PILOT_SEEN_DEVELOPMENT_DATA,V2E01,rosbag2_2026_08_24-19_24_17,R2_BALANCED_PHYSICS_SCORE,12,True,True,True,NOT_IN_REMAINING_MISS_TABLE,1204,9623,12,12,6,0,6,12,6,6,6,True,True,RIGHT,-0.4706489967513876,-0.4706489967513876,0.51458109301505117,7.3975462023963852,e08dc6cd11cfc0b6,0.01393514999654144
PILOT_SEEN_DEVELOPMENT_DATA,V2E01,rosbag2_2026_08_24-19_24_17,R2_BALANCED_PHYSICS_SCORE,16,True,True,True,NOT_IN_REMAINING_MISS_TABLE,1204,9623,16,16,8,0,8,16,8,8,8,True,True,RIGHT,-0.4706489967513876,-0.4706489967513876,0.51458109301505117,7.3975462023963852,e08dc6cd11cfc0b6,0.01393514999654144
PILOT_SEEN_DEVELOPMENT_DATA,V2E01,rosbag2_2026_08_24-19_24_17,R2_BALANCED_PHYSICS_SCORE,24,True,True,True,NOT_IN_REMAINING_MISS_TABLE,1204,9623,24,24,12,0,12,24,12,12,12,True,True,RIGHT,-0.4706489967513876,-0.4706489967513876,0.51458109301505117,7.3975462023963852,e08dc6cd11cfc0b6,0.01393514999654144
PILOT_SEEN_DEVELOPMENT_DATA,V2E01,rosbag2_2026_08_24-19_24_17,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,8,True,True,True,NOT_IN_REMAINING_MISS_TABLE,1204,9623,8,8,4,0,4,8,4,4,4,True,True,RIGHT,-0.4706489967513876,-0.4706489967513876,0.51458109301505117,7.3975462023963852,e08dc6cd11cfc0b6,0.023865210001531523
PILOT_SEEN_DEVELOPMENT_DATA,V2E01,rosbag2_2026_08_24-19_24_17,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,12,True,True,True,NOT_IN_REMAINING_MISS_TABLE,1204,9623,12,12,7,0,5,12,7,5,5,True,True,RIGHT,-0.4706489967513876,-0.4706489967513876,0.51458109301505117,7.3975462023963852,e08dc6cd11cfc0b6,0.023865210001531523
PILOT_SEEN_DEVELOPMENT_DATA,V2E01,rosbag2_2026_08_24-19_24_17,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,16,True,True,True,NOT_IN_REMAINING_MISS_TABLE,1204,9623,16,16,9,0,7,16,9,7,7,True,True,RIGHT,-0.4706489967513876,-0.4706489967513876,0.51458109301505117,7.3975462023963852,e08dc6cd11cfc0b6,0.023865210001531523
PILOT_SEEN_DEVELOPMENT_DATA,V2E01,rosbag2_2026_08_24-19_24_17,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,24,True,True,True,NOT_IN_REMAINING_MISS_TABLE,1204,9623,24,24,11,0,13,24,11,9,9,True,True,RIGHT,-0.4706489967513876,-0.4706489967513876,0.51458109301505117,7.3975462023963852,e08dc6cd11cfc0b6,0.023865210001531523
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,rosbag2_2026_08_24-19_00_30,R1_FEASIBILITY_LEXICOGRAPHIC,8,True,True,True,NOT_IN_REMAINING_MISS_TABLE,1227,3678,8,8,8,0,0,8,8,8,8,True,True,LEFT,0.14999999999999999,0.10999999999999999,1.310934367577036,6.6307072494084043,2795736f29e94f82,0.01763397300237557
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,rosbag2_2026_08_24-19_00_30,R1_FEASIBILITY_LEXICOGRAPHIC,12,True,True,True,NOT_IN_REMAINING_MISS_TABLE,1227,3678,12,12,12,0,0,12,12,12,12,True,True,LEFT,0.14999999999999999,0.10999999999999999,1.310934367577036,6.6307072494084043,2795736f29e94f82,0.01763397300237557
